APW19980227.0468	e1	e8	ii
APW19980227.0468	e1	e9	ii
APW19980227.0468	e1	e10	a
APW19980227.0468	e1	e79	ii
APW19980227.0468	e2	e10	a
APW19980227.0468	e3	e10	a
APW19980227.0468	e91	e8	ii
APW19980227.0468	e91	e9	ii
APW19980227.0468	e91	e10	a
APW19980227.0468	e91	e79	ii
APW19980227.0468	e55	e8	ii
APW19980227.0468	e55	e9	ii
APW19980227.0468	e55	e10	a
APW19980227.0468	e55	e79	ii
APW19980213.1320	e1	e7	a
APW19980213.1320	e1	e10	a
APW19980213.1320	e1	e11	a
APW19980213.1320	e1	e65	ii
APW19980213.1320	e1	e14	s
APW19980213.1320	e1	e17	a
APW19980213.1320	e1	e20	a
APW19980213.1320	e1	e21	a
APW19980213.1320	e2	e10	i
APW19980213.1320	e2	e11	i
APW19980213.1320	e2	e17	i
APW19980213.1320	e2	e20	i
APW19980213.1320	e26	e10	i
APW19980213.1320	e26	e11	i
APW19980213.1320	e26	e17	i
APW19980213.1320	e26	e20	i
APW19980213.1320	e28	e8	ii
APW19980213.1320	e28	e9	b
APW19980213.1320	e28	e10	s
APW19980213.1320	e28	e11	s
APW19980213.1320	e28	e12	b
APW19980213.1320	e28	e65	b
APW19980213.1320	e28	e14	b
APW19980213.1320	e28	e16	ii
APW19980213.1320	e28	e17	s
APW19980213.1320	e28	e18	b
APW19980213.1320	e28	e20	s
APW19980213.1320	e28	e21	a
APW19980213.1320	e28	e22	ii
APW19980213.1320	e28	e25	b
APW19980213.1320	e5	e9	b
APW19980213.1320	e5	e10	b
APW19980213.1320	e5	e11	b
APW19980213.1320	e5	e12	b
APW19980213.1320	e5	e65	b
APW19980213.1320	e5	e14	b
APW19980213.1320	e5	e17	b
APW19980213.1320	e5	e18	b
APW19980213.1320	e5	e20	b
APW19980213.1320	e5	e25	b
APW19980213.1320	e30	e10	i
APW19980213.1320	e30	e11	i
APW19980213.1320	e30	e17	i
APW19980213.1320	e30	e20	i
APW19980213.1320	e7	e11	b
APW19980213.1320	e7	e12	b
APW19980213.1320	e7	e65	b
APW19980213.1320	e7	e14	b
APW19980213.1320	e7	e17	b
APW19980213.1320	e7	e18	b
APW19980213.1320	e7	e20	b
APW19980213.1320	e7	e25	b
APW19980213.1320	e8	e17	i
APW19980213.1320	e8	e20	i
APW19980213.1320	e9	e17	a
APW19980213.1320	e9	e20	a
APW19980213.1320	e9	e21	a
APW19980213.1320	e10	e14	b
APW19980213.1320	e10	e16	ii
APW19980213.1320	e10	e17	s
APW19980213.1320	e10	e18	b
APW19980213.1320	e10	e20	s
APW19980213.1320	e10	e21	a
APW19980213.1320	e10	e22	ii
APW19980213.1320	e10	e25	b
APW19980213.1320	e11	e16	ii
APW19980213.1320	e11	e17	s
APW19980213.1320	e11	e18	b
APW19980213.1320	e11	e20	s
APW19980213.1320	e11	e21	a
APW19980213.1320	e11	e22	ii
APW19980213.1320	e11	e25	b
APW19980213.1320	e12	e17	a
APW19980213.1320	e12	e20	a
APW19980213.1320	e12	e21	a
APW19980213.1320	e65	e17	a
APW19980213.1320	e65	e20	a
APW19980213.1320	e65	e21	a
APW19980213.1320	e14	e20	a
APW19980213.1320	e14	e21	a
APW19980213.1320	e17	e25	b
APW19980213.1320	e20	e16	ii
APW19980213.1320	e10	e11	s
APW19980213.1320	e65	e10	a
APW19980213.1320	e18	e21	a
APW19980213.1320	e17	e18	b
APW19980213.1320	e5	e28	b
APW19980213.1320	e10	e7	a
APW19980213.1320	e65	e14	i
APW19980213.1320	e30	e28	i
APW19980213.1320	e17	e21	a
APW19980213.1320	e17	e16	ii
APW19980213.1320	e14	e17	a
APW19980213.1320	e18	e20	a
APW19980213.1320	e11	e9	b
